batter,bowler,balls,runs,dismissals,boundaries,matches,strike_rate,boundary_percent,dismissal_rate,batter_advantage_score,bowler_advantage_score,advantage,matchup_label
RR Pant,MM Sharma,18,62,0,10,1,344.44444444444446,55.55555555555556,0.0,204.83333333333334,0.0,204.83333333333334,batter_favored
TH David,Mukesh Kumar,14,50,1,10,3,357.14285714285717,71.42857142857143,7.142857142857143,210.21428571428572,12.857142857142858,197.35714285714286,batter_favored
WG Jacks,MM Sharma,12,39,0,7,1,325.0,58.333333333333336,0.0,194.83333333333337,0.0,194.83333333333337,batter_favored
A Mhatre,B Kumar,12,38,0,8,1,316.6666666666667,66.66666666666667,0.0,192.33333333333334,0.0,192.33333333333334,batter_favored
R Parag,MM Ali,12,38,0,5,2,316.6666666666667,41.666666666666664,0.0,187.58333333333334,0.0,187.58333333333334,batter_favored
A Badoni,Vijaykumar Vyshak,13,38,0,7,1,292.3076923076923,53.84615384615385,0.0,175.73076923076925,0.0,175.73076923076925,batter_favored
Abhishek Sharma,Yash Thakur,25,72,0,14,2,288.0,56.0,0.0,175.4,0.0,175.4,batter_favored
PD Salt,HV Patel,15,43,0,7,3,286.6666666666667,46.666666666666664,0.0,173.83333333333334,0.0,173.83333333333334,batter_favored
S Dube,T Natarajan,12,35,0,5,2,291.6666666666667,41.666666666666664,0.0,173.83333333333334,0.0,173.83333333333334,batter_favored
RM Patidar,HH Pandya,15,43,0,7,2,286.6666666666667,46.666666666666664,0.0,172.33333333333334,0.0,172.33333333333334,batter_favored
Shubman Gill,C Green,15,43,0,7,2,286.6666666666667,46.666666666666664,0.0,172.33333333333334,0.0,172.33333333333334,batter_favored
RR Pant,Yash Dayal,12,34,0,6,1,283.3333333333333,50.0,0.0,169.83333333333334,0.0,169.83333333333334,batter_favored
SP Narine,YS Chahal,12,34,0,5,2,283.3333333333333,41.666666666666664,0.0,169.25,0.0,169.25,batter_favored
SS Iyer,SM Curran,17,46,0,7,2,270.5882352941176,41.1764705882353,0.0,162.1176470588235,0.0,162.1176470588235,batter_favored
H Klaasen,Noor Ahmad,16,43,0,7,2,268.75,43.75,0.0,161.75,0.0,161.75,batter_favored
RM Patidar,M Markande,14,43,1,6,2,307.14285714285717,42.857142857142854,7.142857142857143,174.07142857142858,12.857142857142858,161.21428571428572,batter_favored
Abhishek Sharma,Rashid Khan,13,35,0,5,2,269.2307692307692,38.46153846153846,0.0,160.6923076923077,0.0,160.6923076923077,batter_favored
Abhishek Sharma,YS Chahal,13,35,0,5,2,269.2307692307692,38.46153846153846,0.0,160.6923076923077,0.0,160.6923076923077,batter_favored
DP Conway,Vijaykumar Vyshak,12,32,0,6,1,266.6666666666667,50.0,0.0,160.66666666666669,0.0,160.66666666666669,batter_favored
TM Head,Mukesh Kumar,13,34,0,7,2,261.53846153846155,53.84615384615385,0.0,160.30769230769232,0.0,160.30769230769232,batter_favored
H Klaasen,Shahbaz Ahmed,12,32,0,5,1,266.6666666666667,41.666666666666664,0.0,158.58333333333334,0.0,158.58333333333334,batter_favored
MP Stoinis,CJ Jordan,12,31,0,6,2,258.3333333333333,50.0,0.0,157.58333333333334,0.0,157.58333333333334,batter_favored
