player_name,batting_matches,innings_batted,runs,balls_faced,dismissals,boundaries,powerplay_runs,powerplay_balls_x,middle_runs,middle_balls,death_runs,death_balls_x,thirty_plus_innings,fifty_plus_innings,batting_std_dev,batting_average,strike_rate,boundary_percent,powerplay_strike_rate,middle_overs_strike_rate,death_overs_strike_rate,batting_consistency_raw,recent_batting_form_raw,bowling_matches,balls_bowled,runs_conceded,wickets,dot_balls,powerplay_runs_conceded,powerplay_balls_y,death_runs_conceded,death_balls_y,maiden_overs,bowling_std_dev,overs_bowled,bowling_average,economy,dot_ball_percent,death_overs_economy,powerplay_economy,wickets_per_match,bowling_consistency_raw,recent_bowling_form_raw,catches,stumpings,run_outs,matches_played,balls_per_match,overs_per_match,role,fielding_impact_raw,recent_form_raw,consistency_raw,batting_score,bowling_score,fielding_score,consistency_score,recent_form_score,team_fit_score,final_selector_score
V Kohli,44.0,44.0,2037.0,1390.0,36.0,266.0,992.0,653.0,836.0,623.0,209.0,114.0,30.0,22.0,29.3864227037499,56.583333333333336,146.54676258992805,19.136690647482013,151.91424196018377,134.18940609951846,183.33333333333334,62.72727272727273,66.81572510822511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,5.0,44.0,31.59090909090909,0.0,batter,242.0,66.81572510822511,62.72727272727273,69.97507942105064,53.0,43.35714285714286,69.26938092582265,75.00743195602591,65.0,67.74
Shubman Gill,44.0,44.0,1966.0,1270.0,38.0,256.0,832.0,581.0,910.0,571.0,224.0,118.0,29.0,16.0,34.82699616294255,51.73684210526316,154.8031496062992,20.15748031496063,143.2013769363167,159.36952714535903,189.83050847457628,57.04545454545455,71.95993138936535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,44.0,28.863636363636363,0.0,batter,120.0,71.95993138936535,57.04545454545455,69.2003474143172,53.0,19.285714285714285,62.99498047964306,81.42452428473872,65.0,65.56
JJ Bumrah,5.0,5.0,12.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,13.0,0.0,0.0,3.2093613071762426,12.0,92.3076923076923,7.6923076923076925,0.0,0.0,92.3076923076923,0.0,5.58,25.0,595.0,652.0,38.0,269.0,249.0,216.0,223.0,199.0,0.0,2.2112263047088647,99.16666666666667,17.157894736842106,6.574789915966386,45.21008403361345,6.723618090452261,6.916666666666667,1.52,61.102521008403365,49.893750000000004,3.0,0.0,0.0,25.0,2.6,3.966666666666667,bowler,24.0,55.47375,61.102521008403365,14.685044445464992,74.863119912927,3.857142857142857,67.47517657369697,60.85899048969527,65.0,64.64
MR Marsh,26.0,26.0,816.0,518.0,25.0,123.0,403.0,264.0,373.0,236.0,40.0,18.0,11.0,8.0,31.94755317463536,32.64,157.52895752895753,23.745173745173744,152.65151515151516,158.05084745762713,222.22222222222223,38.84615384615385,59.06260557432433,11.0,169.0,273.0,13.0,43.0,30.0,24.0,68.0,31.0,0.0,4.466038083878447,28.166666666666668,21.0,9.692307692307692,25.443786982248522,13.161290322580646,7.5,1.1818181818181819,29.545454545454547,27.788194444444443,4.0,0.0,0.0,26.0,19.923076923076923,2.5606060606060606,all_rounder,32.0,86.85080001876878,68.3916083916084,50.79923521427238,52.21599268362339,5.142857142857143,75.52447552447553,100.0,100.0,64.22
H Klaasen,39.0,39.0,1414.0,815.0,31.0,181.0,76.0,49.0,830.0,518.0,508.0,248.0,21.0,9.0,24.74896908934098,45.61290322580645,173.49693251533742,22.208588957055216,155.10204081632654,160.23166023166024,204.83870967741936,44.61538461538461,58.629720279720274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,8.0,39.0,20.897435897435898,0.0,wicketkeeper,260.0,58.629720279720274,44.61538461538461,63.08016235338265,53.0,56.26785714285714,49.268522888154784,64.79587629186213,100.0,64.1
SP Narine,36.0,36.0,755.0,439.0,31.0,130.0,485.0,290.0,224.0,123.0,46.0,26.0,9.0,4.0,27.496998393186857,24.35483870967742,171.98177676537586,29.612756264236904,167.24137931034483,182.1138211382114,176.92307692307693,20.833333333333332,33.06473416289593,40.0,888.0,1102.0,40.0,290.0,133.0,84.0,123.0,102.0,0.0,2.4421512164693167,148.0,27.55,7.445945945945946,32.65765765765766,7.235294117647059,9.5,1.0,37.64864864864865,34.25,11.0,0.0,2.0,40.0,12.194444444444445,3.7,all_rounder,108.0,67.31473416289593,58.48198198198199,49.6580091794979,67.81882611385655,19.142857142857142,64.58132979605374,75.62991616480001,100.0,63.89
B Sai Sudharsan,35.0,35.0,1648.0,1115.0,30.0,219.0,646.0,468.0,802.0,551.0,200.0,96.0,27.0,13.0,27.152479497407654,54.93333333333333,147.80269058295963,19.641255605381165,138.03418803418805,145.5535390199637,208.33333333333334,65.14285714285714,66.18799597618805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,35.0,31.857142857142858,0.0,batter,82.0,66.18799597618805,65.14285714285714,66.03078724375966,53.0,14.071428571428571,71.93689745836984,74.22437708272643,65.0,63.64
SA Yadav,43.0,43.0,1667.0,967.0,35.0,254.0,209.0,151.0,1185.0,687.0,273.0,129.0,24.0,15.0,27.314602068440486,47.628571428571426,172.38883143743536,26.26680455015512,138.41059602649005,172.4890829694323,211.62790697674419,49.53488372093023,68.76895128147622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,43.0,22.488372093023255,0.0,batter,128.0,68.76895128147622,49.53488372093023,67.46368184940617,53.0,20.571428571428573,54.70109858753032,77.44396579771168,65.0,63.21
CV Varun,3.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.5773502691896258,2.0,20.0,0.0,0.0,0.0,20.0,0.0,0.6666666666666666,41.0,916.0,1214.0,58.0,350.0,243.0,186.0,229.0,166.0,0.0,3.3138245419463828,152.66666666666666,20.93103448275862,7.951965065502184,38.209606986899566,8.27710843373494,7.838709677419355,1.4146341463414633,41.94227287251039,34.83680555555556,8.0,0.0,0.0,41.0,3.3333333333333335,3.7235772357723573,bowler,64.0,35.50347222222222,41.94227287251039,2.6734631153686665,78.61952756089894,10.285714285714286,46.31662035001147,35.9472530269362,65.0,61.12
TA Boult,9.0,9.0,32.0,33.0,3.0,4.0,0.0,0.0,7.0,5.0,25.0,28.0,0.0,0.0,5.725188012439223,10.666666666666666,96.96969696969697,12.121212121212121,0.0,140.0,89.28571428571429,0.0,5.418181818181818,41.0,894.0,1272.0,51.0,359.0,702.0,564.0,303.0,180.0,0.0,2.671920857110336,149.0,24.941176470588236,8.536912751677852,40.15659955257271,10.1,7.468085106382978,1.2439024390243902,31.097560975609756,45.56707875457876,8.0,0.0,0.0,41.0,3.6666666666666665,3.6341463414634148,bowler,64.0,50.98526057276058,31.097560975609756,19.58699438561519,73.33417669651386,10.285714285714286,34.34086488104145,55.259866057876735,65.0,59.72
Noor Ahmad,11.0,11.0,20.0,35.0,8.0,2.0,0.0,0.0,1.0,3.0,19.0,32.0,0.0,0.0,2.088931871468374,2.5,57.142857142857146,5.714285714285714,0.0,33.333333333333336,59.375,0.0,5.2875,37.0,792.0,1067.0,48.0,273.0,77.0,54.0,171.0,127.0,0.0,2.8823280190441607,132.0,22.229166666666668,8.083333333333334,34.46969696969697,8.078740157480315,8.555555555555555,1.2972972972972974,37.43243243243243,37.34027777777777,8.0,0.0,1.0,37.0,3.1818181818181817,3.5675675675675675,bowler,74.0,42.62777777777777,37.43243243243243,8.9874116584165,72.87624852911983,12.785714285714286,41.33642845299286,44.83440179769431,65.0,58.78
