venue,player_name,skill_type,matches,runs,strike_rate,venue_score,wickets,economy,venue_rank
"Arun Jaitley Stadium, Delhi",H Klaasen,batter,3,173.0,233.78378378378378,186.29594594594596,0.0,0.0,1.0
"Arun Jaitley Stadium, Delhi",B Sai Sudharsan,batter,3,235.0,158.78378378378378,179.2972972972973,0.0,0.0,2.0
"Arun Jaitley Stadium, Delhi",J Fraser-McGurk,batter,7,231.0,262.5,177.68863636363636,0.0,0.0,3.0
"Arun Jaitley Stadium, Delhi",AR Patel,batter,17,400.0,163.26530612244898,164.04761904761907,0.0,0.0,4.0
"Arun Jaitley Stadium, Delhi",T Stubbs,batter,10,279.0,196.4788732394366,160.9119718309859,0.0,0.0,5.0
"Arun Jaitley Stadium, Delhi",Kuldeep Yadav,bowler,17,0.0,0.0,278.8333333333333,15.0,8.716666666666667,1.0
"Arun Jaitley Stadium, Delhi",Mukesh Kumar,bowler,15,0.0,0.0,262.2105263157895,14.0,11.242105263157894,2.0
"Arun Jaitley Stadium, Delhi",AR Patel,bowler,16,0.0,0.0,250.27999999999997,13.0,7.74,3.0
"Arun Jaitley Stadium, Delhi",I Sharma,bowler,6,0.0,0.0,156.5,8.0,8.7,4.0
"Arun Jaitley Stadium, Delhi",KK Ahmed,bowler,10,0.0,0.0,153.41176470588235,8.0,11.470588235294118,5.0
"Barsapara Cricket Stadium, Guwahati",N Rana,batter,2,89.0,197.77777777777777,121.25833333333333,0.0,0.0,1.0
"Barsapara Cricket Stadium, Guwahati",Q de Kock,batter,1,97.0,159.01639344262296,117.50245901639346,0.0,0.0,2.0
"Barsapara Cricket Stadium, Guwahati",S Dhawan,batter,1,86.0,153.57142857142858,109.95,0.0,0.0,3.0
"Barsapara Cricket Stadium, Guwahati",JC Buttler,batter,2,98.0,158.06451612903226,105.23709677419355,0.0,0.0,4.0
"Barsapara Cricket Stadium, Guwahati",SO Hetmyer,batter,4,101.0,160.31746031746033,102.66428571428573,0.0,0.0,5.0
"Barsapara Cricket Stadium, Guwahati",NT Ellis,bowler,2,0.0,0.0,117.125,5.0,6.75,1.0
"Barsapara Cricket Stadium, Guwahati",YS Chahal,bowler,3,0.0,0.0,115.08333333333333,6.0,9.0,2.0
"Barsapara Cricket Stadium, Guwahati",PWH de Silva,bowler,2,0.0,0.0,99.28571428571428,5.0,9.857142857142858,3.0
"Barsapara Cricket Stadium, Guwahati",R Ashwin,bowler,4,0.0,0.0,87.125,4.0,7.9375,4.0
"Barsapara Cricket Stadium, Guwahati",TA Boult,bowler,3,0.0,0.0,83.81818181818181,4.0,8.545454545454545,5.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",KL Rahul,batter,13,540.0,131.38686131386862,181.05131608051317,0.0,0.0,1.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",N Pooran,batter,21,409.0,141.0344827586207,153.94425287356322,0.0,0.0,2.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",A Badoni,batter,17,376.0,141.88679245283018,149.14168096054885,0.0,0.0,3.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Abhishek Sharma,batter,2,93.0,251.35135135135135,147.65743243243244,0.0,0.0,4.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",MP Stoinis,batter,14,336.0,136.03238866396762,137.83231505336767,0.0,0.0,5.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Ravi Bishnoi,bowler,19,0.0,0.0,351.68,19.0,8.624,1.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",KH Pandya,bowler,13,0.0,0.0,237.8181818181818,12.0,7.136363636363637,2.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Yash Thakur,bowler,8,0.0,0.0,226.23121387283237,12.0,9.606936416184972,3.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Naveen-ul-Haq,bowler,8,0.0,0.0,191.82702702702704,10.0,8.237837837837837,4.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",MA Wood,bowler,2,0.0,0.0,161.25,7.0,6.125,5.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",N Pooran,batter,1,75.0,250.0,150.58333333333334,0.0,0.0,1.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",SP Narine,batter,1,85.0,217.94871794871796,139.91666666666669,0.0,0.0,2.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Ashutosh Sharma,batter,1,66.0,212.90322580645162,128.73225806451615,0.0,0.0,3.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",A Raghuvanshi,batter,1,54.0,200.0,117.26296296296296,0.0,0.0,4.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Aniket Verma,batter,1,74.0,180.4878048780488,117.20243902439026,0.0,0.0,5.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",MA Starc,bowler,3,0.0,0.0,194.0625,10.0,9.5625,1.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Kuldeep Yadav,bowler,2,0.0,0.0,132.875,5.0,5.25,2.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Mukesh Kumar,bowler,3,0.0,0.0,82.71428571428571,4.0,8.571428571428571,3.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",KK Ahmed,bowler,2,0.0,0.0,73.625,3.0,8.0,4.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",A Nortje,bowler,2,0.0,0.0,60.875,3.0,12.75,5.0
"Eden Gardens, Kolkata",RK Singh,batter,19,510.0,162.93929712460064,189.11806564042985,0.0,0.0,1.0
"Eden Gardens, Kolkata",PD Salt,batter,8,406.0,184.54545454545453,181.92727272727274,0.0,0.0,2.0
"Eden Gardens, Kolkata",AD Russell,batter,18,385.0,171.11111111111111,163.12777777777777,0.0,0.0,3.0
"Eden Gardens, Kolkata",AM Rahane,batter,7,354.0,164.65116279069767,162.01511627906976,0.0,0.0,4.0
"Eden Gardens, Kolkata",JM Bairstow,batter,1,108.0,225.0,153.39166666666665,0.0,0.0,5.0
"Eden Gardens, Kolkata",CV Varun,bowler,21,0.0,0.0,533.5020408163266,29.0,8.485714285714286,1.0
"Eden Gardens, Kolkata",Harshit Rana,bowler,18,0.0,0.0,424.3225806451613,23.0,10.064516129032258,2.0
"Eden Gardens, Kolkata",VG Arora,bowler,13,0.0,0.0,317.44444444444446,17.0,10.4,3.0
"Eden Gardens, Kolkata",AD Russell,bowler,18,0.0,0.0,314.0,17.0,11.938461538461539,4.0
"Eden Gardens, Kolkata",SP Narine,bowler,21,0.0,0.0,308.68831168831167,16.0,7.1558441558441555,5.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",RR Rossouw,batter,3,143.0,213.43283582089552,146.1018656716418,0.0,0.0,1.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",V Kohli,batter,1,92.0,195.74468085106383,132.25106382978723,0.0,0.0,2.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Shashank Singh,batter,3,97.0,179.62962962962962,127.2611111111111,0.0,0.0,3.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",P Simran Singh,batter,6,201.0,162.09677419354838,125.53225806451613,0.0,0.0,4.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",A Badoni,batter,1,74.0,185.0,119.05,0.0,0.0,5.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Arshdeep Singh,bowler,5,0.0,0.0,137.47058823529412,7.0,9.411764705882353,1.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",HV Patel,bowler,2,0.0,0.0,124.0,6.0,7.75,2.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",SM Curran,bowler,4,0.0,0.0,97.66666666666667,5.0,11.066666666666666,3.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",RD Chahar,bowler,4,0.0,0.0,81.20454545454545,4.0,9.068181818181818,4.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",K Rabada,bowler,3,0.0,0.0,49.5,2.0,10.0,5.0
"M Chinnaswamy Stadium, Bengaluru",V Kohli,batter,19,856.0,158.22550831792975,257.9945933456562,0.0,0.0,1.0
"M Chinnaswamy Stadium, Bengaluru",F du Plessis,batter,15,561.0,168.46846846846847,201.411884961885,0.0,0.0,2.0
"M Chinnaswamy Stadium, Bengaluru",N Pooran,batter,2,102.0,255.0,164.9,0.0,0.0,3.0
"M Chinnaswamy Stadium, Bengaluru",TM Head,batter,1,102.0,248.78048780487805,161.99756097560976,0.0,0.0,4.0
"M Chinnaswamy Stadium, Bengaluru",GJ Maxwell,batter,12,315.0,186.3905325443787,156.75672404518556,0.0,0.0,5.0
"M Chinnaswamy Stadium, Bengaluru",Mohammed Siraj,bowler,14,0.0,0.0,396.54545454545456,21.0,7.909090909090909,1.0
